iter	Passed	Remaining
755	7352	2373
756	7361	2363
757	7370	2353
758	7379	2343
759	7388	2333
760	7396	2322
761	7405	2312
762	7413	2302
763	7421	2292
764	7430	2282
765	7438	2272
766	7446	2262
767	7455	2252
768	7463	2242
769	7472	2232
770	7481	2222
771	7489	2212
772	7498	2201
773	7506	2191
774	7515	2181
775	7523	2171
776	7532	2161
777	7540	2151
778	7549	2141
779	7557	2131
780	7565	2121
781	7574	2111
782	7582	2101
783	7591	2091
784	7599	2081
785	7608	2071
786	7616	2061
787	7626	2051
788	7635	2041
789	7644	2032
790	7654	2022
791	7663	2012
792	7673	2002
793	7682	1993
794	7692	1983
795	7702	1974
796	7712	1964
797	7722	1954
798	7731	1944
799	7741	1935
800	7753	1926
801	7763	1916
802	7774	1907
803	7782	1897
804	7792	1887
805	7801	1877
806	7810	1867
807	7820	1858
808	7829	1848
809	7838	1838
810	7847	1828
811	7856	1818
812	7865	1809
813	7875	1799
814	7884	1789
815	7893	1779
816	7903	1770
817	7911	1760
818	7922	1750
819	7930	1740
820	7939	1730
821	7947	1721
822	7956	1711
823	7965	1701
824	7974	1691
825	7983	1681
826	7992	1671
827	8001	1662
828	8010	1652
829	8020	1642
830	8030	1633
831	8039	1623
832	8047	1613
833	8056	1603
834	8066	1593
835	8074	1584
836	8085	1574
837	8094	1564
838	8103	1555
839	8113	1545
840	8122	1535
841	8132	1525
842	8140	1516
843	8150	1506
844	8158	1496
845	8169	1487
846	8178	1477
847	8187	1467
848	8198	1458
849	8207	1448
850	8217	1438
851	8226	1429
852	8235	1419
853	8245	1409
854	8254	1399
855	8265	1390
856	8274	1380
857	8286	1371
858	8298	1362
859	8310	1352
860	8321	1343
861	8332	1334
862	8344	1324
863	8354	1315
864	8364	1305
865	8374	1295
866	8383	1286
867	8393	1276
868	8402	1266
869	8411	1256
870	8419	1246
871	8430	1237
872	8439	1227
873	8447	1217
874	8456	1208
875	8466	1198
876	8475	1188
877	8483	1178
878	8492	1169
879	8500	1159
880	8509	1149
881	8518	1139
882	8526	1129
883	8535	1119
884	8543	1110
885	8551	1100
886	8560	1090
887	8569	1080
888	8578	1071
889	8587	1061
890	8595	1051
891	8604	1041
892	8612	1031
893	8621	1022
894	8629	1012
895	8637	1002
896	8646	992
897	8654	983
898	8663	973
899	8672	963
900	8680	953
901	8688	944
902	8697	934
903	8706	924
904	8715	914
905	8724	905
906	8733	895
907	8741	885
908	8750	875
909	8759	866
910	8767	856
911	8775	846
912	8784	837
913	8793	827
914	8801	817
915	8810	807
916	8818	798
917	8827	788
918	8836	778
919	8844	769
920	8852	759
921	8861	749
922	8870	739
923	8878	730
924	8887	720
925	8895	710
926	8903	701
927	8911	691
928	8920	681
929	8928	672
930	8937	662
931	8945	652
932	8953	642
933	8963	633
934	8971	623
935	8980	614
936	8988	604
937	8997	594
938	9005	585
939	9013	575
940	9022	565
941	9030	556
942	9039	546
943	9047	536
944	9056	527
945	9064	517
946	9073	507
947	9081	498
948	9089	488
949	9098	478
950	9106	469
951	9115	459
952	9123	449
953	9131	440
954	9140	430
955	9148	421
956	9157	411
957	9167	401
958	9175	392
959	9184	382
960	9192	373
961	9201	363
962	9209	353
963	9218	344
964	9227	334
965	9235	325
966	9245	315
967	9255	305
968	9264	296
969	9274	286
970	9282	277
971	9291	267
972	9299	258
973	9307	248
974	9316	238
975	9324	229
976	9332	219
977	9340	210
978	9349	200
979	9357	190
980	9366	181
981	9374	171
982	9382	162
983	9391	152
984	9399	143
985	9407	133
986	9415	124
987	9424	114
988	9432	104
989	9440	95
990	9448	85
991	9457	76
992	9465	66
993	9474	57
994	9482	47
995	9490	38
996	9499	28
997	9507	19
998	9515	9
999	9524	0
